Source,Plx,Gmag,BPmag,RPmag
5869486196362226688,5.0001,20.406336,21.820997,19.173847
1998802428652425728,5.0001,19.459295,20.097,18.208164
2316886817535954560,5.0001,15.616896,16.035624,14.322114
33379287529605760,5.0001,16.864979,18.328918,15.67785
5405898352758972544,5.0001,20.80889,21.835041,20.04663
5159663548351454208,5.0001,20.56203,21.364656,19.342125
2531489286592339456,5.0001,20.75377,21.684473,19.267307
4155329701560282112,5.0001,20.4439,21.20588,19.03345
526188095685295616,5.0001,20.902197,21.420597,19.422857
5898524229670576512,5.0001,19.466156,19.99005,18.578428
362095365443277056,5.0001,16.750612,18.365337,15.508304
6061851424931097472,5.0001,20.704624,21.166328,19.641554
259153623654914304,5.0001,20.798168,20.93249,19.649872
4043381237457262848,5.0001,18.882324,,
6640371356352889344,5.0001,20.877941,21.691996,19.821272
3112882040038535296,5.0001,20.488054,21.118332,19.786905
1038346934089985664,5.0001,15.324715,16.40695,14.292455
2018976581564782720,5.0001,20.868023,21.82216,19.30355
5843799302592188672,5.0001,18.883474,,
4116913177614177536,5.0001,20.577856,,
6354166727296116224,5.0001,15.61179,16.934046,14.462464
4116732307911527296,5.0001,19.7911,20.839203,18.567104
4120133509795084288,5.0001,20.292675,20.916641,19.204727
4128287831517458432,5.0001,19.682627,20.372774,18.449078
4286974877263196928,5.0001,18.86336,20.621912,17.48153
4123155895470466432,5.0001,20.684265,21.299118,19.744581
2074237245680431360,5.0001,20.760683,20.632652,19.440897
5988210877782032512,5.0001,17.391241,19.152899,16.136269
2203042211076009728,5.0001,17.631378,19.379457,16.371826
5978084513166900096,5.0001,20.379662,,
4258728805795375104,5.0001,20.530836,21.235142,19.248892
992562101678542080,5.0001,20.702406,21.74409,19.339027
4120670449325251584,5.0001,20.053667,,
6656524655342842624,5.0001,20.825428,21.038263,20.050327
503024748641631488,5.0001,18.902334,20.72817,17.611906
5867572702484755712,5.0001,20.685272,21.443272,19.436346
6106533618980471552,5.0001,19.185495,20.96289,17.870932
6029739363271406464,5.0001,20.297838,20.079538,19.112259
1814574724230275072,5.0001,20.65647,21.023592,19.72147
106403004395092480,5.0001,17.888435,19.623447,16.63798
3793667612383707904,5.0001,19.272161,19.378222,19.065964
5109745892251008128,5.0001,14.964329,16.00942,13.9486
4045654928500431744,5.0001,20.181595,,
5854001121243868288,5.0001,15.636949,16.177565,14.537333
5847880380533968512,5.0001,19.680809,20.145859,18.384295
5300085197700804224,5.0001,19.079811,20.792603,17.595343
5830437796789419776,5.0001,19.879162,20.230837,19.05376
4043984186215921408,5.0001,19.755701,20.540894,18.409931
6633526243634906240,5.0001,20.368935,21.677465,19.039381
5959533857856230016,5.0001,18.75638,19.422108,17.504276
5870583783775558016,5.0001,20.845642,21.713177,19.851318
6025948075369233664,5.0001,19.924152,20.782837,18.95535
5980718221461267584,5.0001,20.53654,21.126425,19.424112
5360696536389173120,5.0001,20.844316,21.432947,19.97084
5860079771303669248,5.0001,20.980923,21.423672,19.82906
919981380624314752,5.0001,17.72101,19.23683,16.52729
4061701609229360640,5.0001,18.171476,19.47305,16.481152
5556786979138105600,5.0001,19.287243,20.933582,18.019989
4121936124650159360,5.0001,20.50211,21.53425,20.060326
4160251042563167872,5.0001,19.858065,20.683304,18.189625
2304735770941177984,5.0001,17.412022,19.019777,16.189837
6357422690462775040,5.0001,20.793146,21.34833,19.424355
5799874500252331008,5.0001,14.903862,16.026531,13.853158
4119690578316926208,5.0001,20.498266,20.895466,19.964064
4288274091980468736,5.0001,19.418941,20.432716,17.869587
2068799370399201536,5.0001,20.60562,20.871315,19.101809
1304353152291675392,5.0001,19.667688,21.207123,18.251478
3408445540271035520,5.0001,15.091752,16.198833,14.040557
5976664592617062144,5.0001,19.987608,21.013971,18.341095
5960100351164960512,5.0001,20.334146,21.18155,19.54406
5991636406261865856,5.0001,20.461466,,
3926024932349422976,5.0001,17.402336,18.802307,16.257477
4099481245387346816,5.0001,19.582531,,
201102703949606912,5.0001,19.539944,21.220003,18.22043
6181216125226713856,5.0001,20.292065,20.429522,19.709732
2027463917965611136,5.0001,20.838379,21.322863,19.751818
284139849300533248,5.0001,18.798267,18.879082,18.694492
5934026085844823808,5.0001,20.140432,21.231945,18.780167
4043285961973570944,5.0001,20.221985,21.026516,19.17192
2024528393705935488,5.0001,20.154446,21.598986,18.689207
4036710435776990976,5.0001,20.353256,20.484602,19.530836
4117802682508787584,5.0001,20.469152,,
517958556092201472,5.0001,20.9144,21.358618,19.9522
6655450608574037120,5.0001,20.842352,,
1819278744215453824,5.0001,20.82417,20.732847,19.565191
6681160484668161024,5.0001,17.282814,18.847406,16.074883
4068532192108067328,5.0001,20.051613,20.957977,18.560503
68965256241020416,5.0001,14.972004,16.190357,13.881837
5930057158026378752,5.0001,20.83928,21.41391,20.061378
3118097878386858752,5.0001,20.636051,21.520266,19.715225
5979470584959933184,5.0001,20.280146,,
5388601797906846592,5.0001,17.127129,18.685766,15.920308
5961581599559795328,5.0001,19.749218,20.239567,18.43058
1824256542590761984,5.0001,20.390623,21.258108,19.168615
